Sad,Angry,Surprise,Happy,Neutral
Adele_Hello ,I'm_Dangerous,,Sunshine,
Adele_Rolling ,Boys_Mood,,Lasting_Lover,
Alan_Walker_Faded ,FFF_Fuck_Fake_Friends,,Sugar,
B_Theme ,Black_Coast,,My_Wave,
Billie_Eilish_Ocean_Eyes ,Sorry_Not_Sorry,,Lifestyle,
Billie_Eilish_Khalid,Angry_Too,,Perfect,
Bruno_Mars_When_I_Was_Your_Man,Blackbear,,Closer,
We_Don't_Talk_Anymore,DYLYN_Secret,,Sweater_Weather,
Cherry_Troopers,Echos_Saints,,Can't_Feel_My_Face,
Chord_Overstreet,Lily_Allen,,I_Feel_It_Coming,
Loving_You_Is_A_Losing_Game,Getting_Stronger,,ZImson,
Thrive,I'm_Gonna_Show_You_Crazy,,All_of_Me,
Without_Me,I'm_Something,,Anne_Marie,
Repaired,KIRA,,Big_League,
Drifting,LIMMA,,Coldplay_The_Weekend,
Impossible,Dynasty,,Cry_Baby,
i_hope_you_miss_me,Sam_Tinnesz_Play,,Fiji_On_Me,
Lonely,Wolf_In_Sheep's_Clothing,,Girls_Like_You,
All_I_Want,Unbreakable_Faydee,,Golden_Mood,
Before_You_Go,Without_Me,,Goodlook,
Lisa_Sonny,,,Guardian,
Memories,,,Happy_Love,
mad_at_disney,,,Head&Heart,
What_Other_People_Say,,,Hey_King,
I'm_Not_The_Only_One,,,Intentions,
Sawdhh,,,Lean_On,
Shawn_Mendes,,,Levitating,
Rocky,,,WHOOPTY,
you_broke_me_first,,,Say_You_Won't_Let_Go,
Save_Your_Tears,,,That's_What_I_Like,
See_You_Again,,,The_Nights,
You_Are_Mine,,,Thinking_Out_Loud,